,Title,Link,Citations,Year
0,Starcraft ii: A new challenge for reinforcement learning,https://arxiv.org/abs/1708.04782,205,2017
1,Could not catch title,Look manually at: https://scholar.google.co.kr/scholar?start=10&q=starcraft&as_ylo=2017&as_yhi=2019,94,0
2,Learning macromanagement in starcraft from replays using deep learning,https://ieeexplore.ieee.org/abstract/document/8080430/,37,2017
3,Multiagent bidirectionally-coordinated nets: Emergence of human-level coordination in learning to play starcraft combat games,https://arxiv.org/abs/1703.10069,30,2017
4,Tstarbots: Defeating the cheating level builtin ai in starcraft ii in the full game,https://arxiv.org/abs/1809.07193,19,2018
5,Continual online evolutionary planning for in-game build order adaptation in StarCraft,https://dl.acm.org/citation.cfm?id=3071210,18,2017
6,STARDATA: A starcraft AI research dataset,https://www.aaai.org/ocs/index.php/AIIDE/AIIDE17/paper/viewPaper/15837,16,2017
7,Starcraft micromanagement with reinforcement learning and curriculum transfer learning,https://ieeexplore.ieee.org/abstract/document/8351991/,14,2018
8,Cooperative reinforcement learning for multiple units combat in StarCraft,https://ieeexplore.ieee.org/abstract/document/8280949/,10,2017
9,The current state of StarCraft AI competitions and bots,https://www.aaai.org/ocs/index.php/AIIDE/AIIDE17/paper/viewPaper/15830,10,2017
10,Automated game balancing in Ms PacMan and StarCraft using evolutionary algorithms,https://link.springer.com/chapter/10.1007/978-3-319-55849-3_25,9,2017
11,On reinforcement learning for full-length game of starcraft,https://wvvw.aaai.org/ojs/index.php/AAAI/article/view/4394,9,2019
12,Toward foraging for understanding of StarCraft agents: An empirical study,https://dl.acm.org/citation.cfm?id=3172946,8,2018
13,Sentiment analysis of player chat messaging in the video game StarCraft 2: Extending a lexicon-based model,https://www.sciencedirect.com/science/article/pii/S0950705117304240,8,2017
14,State-of-the-art and open challenges in RTS game-AI and Starcraft,https://pdfs.semanticscholar.org/ea33/b3d3ed2b7408463c2b8b031e3ddc22d1e10c.pdf,5,2017
15,A machine learning approach to predict the winner in StarCraft based on influence maps,https://www.sciencedirect.com/science/article/pii/S1875952116300647,5,2017
16,Knowledge-Guided Agent-Tactic-Aware Learning for StarCraft Micromanagement.,https://www.ijcai.org/proceedings/2018/0204.pdf,5,2018
17,Identifying the rush strategies in the game logs of the real-time strategy game StarCraft-II,http://www.ai-gakkai.or.jp/jsai2017/webprogram/2017/pdf/448.pdf,4,0
18,Determining Frictional Characteristics of Human Ocular Surfaces by Employing BSG-Starcraft of Particle Swarm Optimization,http://jbeb.avestia.com/2017/005.html,4,2017
19,Multi-platform Version of StarCraft: Brood War in a Docker Container: Technical Report,https://arxiv.org/abs/1801.02193,3,2018
