,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Title,Link,Citations,Year
0,0.0,0.0,0.0,0.0,Starcraft ii: A new challenge for reinforcement learning,https://arxiv.org/abs/1708.04782,205,2017
1,2.0,2.0,1.0,,Starcraft ii: A new challenge for reinforcement learning,https://arxiv.org/abs/1708.04782,205,2017
2,3.0,1.0,,,Starcraft ii: A new challenge for reinforcement learning,https://arxiv.org/abs/1708.04782,205,2017
3,1.0,,,,Starcraft ii: A new challenge for reinforcement learning,https://arxiv.org/abs/1708.04782,205,2017
4,,,,,Starcraft ii: A new challenge for reinforcement learning,https://arxiv.org/abs/1708.04782,205,2017
5,7.0,3.0,2.0,,Could not catch title,Look manually at: https://scholar.google.co.kr/scholar?start=10&q=starcraft&as_ylo=2017&as_yhi=2019,94,0
6,5.0,,,,Could not catch title,Look manually at: https://scholar.google.co.kr/scholar?start=10&q=starcraft&as_ylo=2017&as_yhi=2019,94,0
7,,,,,Could not catch title,Look manually at: https://scholar.google.co.kr/scholar?start=10&q=starcraft&as_ylo=2017&as_yhi=2019,94,0
8,6.0,5.0,3.0,1.0,Could not catch title,Look manually at: https://scholar.google.co.kr/scholar?start=10&q=starcraft&as_ylo=2017&as_yhi=2019,94,0
9,4.0,4.0,,,Could not catch title,Look manually at: https://scholar.google.co.kr/scholar?start=10&q=starcraft&as_ylo=2017&as_yhi=2019,94,0
10,11.0,,,,Could not catch title,Look manually at: https://scholar.google.co.kr/scholar?start=20&q=starcraft&as_ylo=2017&as_yhi=2019,69,0
11,8.0,7.0,,,Could not catch title,Look manually at: https://scholar.google.co.kr/scholar?start=20&q=starcraft&as_ylo=2017&as_yhi=2019,69,0
12,9.0,8.0,4.0,,Could not catch title,Look manually at: https://scholar.google.co.kr/scholar?start=20&q=starcraft&as_ylo=2017&as_yhi=2019,69,0
13,10.0,6.0,5.0,2.0,Could not catch title,Look manually at: https://scholar.google.co.kr/scholar?start=20&q=starcraft&as_ylo=2017&as_yhi=2019,69,0
14,,,,,Could not catch title,Look manually at: https://scholar.google.co.kr/scholar?start=20&q=starcraft&as_ylo=2017&as_yhi=2019,69,0
15,13.0,9.0,7.0,3.0,Learning macromanagement in starcraft from replays using deep learning,https://ieeexplore.ieee.org/abstract/document/8080430/,37,2017
16,14.0,11.0,6.0,,Learning macromanagement in starcraft from replays using deep learning,https://ieeexplore.ieee.org/abstract/document/8080430/,37,2017
17,15.0,10.0,,,Learning macromanagement in starcraft from replays using deep learning,https://ieeexplore.ieee.org/abstract/document/8080430/,37,2017
18,12.0,,,,Learning macromanagement in starcraft from replays using deep learning,https://ieeexplore.ieee.org/abstract/document/8080430/,37,2017
19,,,,,Learning macromanagement in starcraft from replays using deep learning,https://ieeexplore.ieee.org/abstract/document/8080430/,37,2017
